time (s)	Ta,e	Teq,e	Teq,i	pa,e	pa,i	gl (kg/m2s)
356400.0	10.0	50.0	20.0	1150.0	935.0	0.0000
360000.0	10.0	50.0	20.0	1150.0	935.0	0.0000
363600.0	10.0	50.0	20.0	1150.0	935.0	0.0000
367200.0	10.0	50.0	20.0	1150.0	935.0	0.0000
370800.0	10.0	50.0	20.0	1150.0	935.0	0.0000
374400.0	10.0	50.0	20.0	1150.0	935.0	0.0000
378000.0	10.0	50.0	20.0	1150.0	935.0	0.0000
381600.0	10.0	50.0	20.0	1150.0	935.0	0.0000
385200.0	10.0	10.0	20.0	1150.0	935.0	0.0005
388800.0	10.0	10.0	20.0	1150.0	935.0	0.0005
392400.0	10.0	10.0	20.0	1150.0	935.0	0.0005
396000.0	10.0	10.0	20.0	1150.0	935.0	0.0005
399600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
403200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
406800.0	10.0	10.0	20.0	1150.0	935.0	0.0000
410400.0	10.0	10.0	20.0	1150.0	935.0	0.0000
414000.0	10.0	10.0	20.0	1150.0	935.0	0.0000
417600.0	10.0	10.0	20.0	1150.0	935.0	0.0000
421200.0	10.0	10.0	20.0	1150.0	935.0	0.0000
424800.0	10.0	10.0	20.0	1150.0	935.0	0.0000
428400.0	10.0	10.0	20.0	1150.0	935.0	0.0000
432000.0	10.0	10.0	20.0	1150.0	935.0	0.0000
